Date_,Units,Visits,Spend,Radio_flux,Sunspot_N,Sunspot_A
14-Jan-09,68681,59913,186584.29000000018,491,74,120
21-Jan-09,62750,54776,163777.8100000006,495,13,10
28-Jan-09,56099,49760,147559.9600000006,488,0,0
04-Feb-09,59495,52723,160947.05000000028,485,0,0
11-Feb-09,92694,74740,207625.82000000012,491,11,10
18-Feb-09,73303,61518,170471.23999999947,491,22,20
25-Feb-09,71551,59131,163879.23000000019,492,26,30
04-Mar-09,51946,44450,120122.4599999996,487,12,10
11-Mar-09,57326,50286,160732.96999999977,482,24,40
18-Mar-09,63550,55629,177014.80000000045,480,0,0
25-Mar-09,60787,53813,165930.07000000015,483,0,0
01-Apr-09,62291,53635,166919.24999999983,496,0,0
08-Apr-09,59146,51601,164739.9700000002,490,0,0
15-Apr-09,50793,44692,136871.4099999995,483,0,0
22-Apr-09,52113,45924,138661.24999999985,492,11,10
29-Apr-09,48487,42860,130618.54999999996,486,15,20
06-May-09,64276,53967,164313.53000000026,480,12,10
13-May-09,72787,62484,177480.2300000004,505,12,10
20-May-09,62400,55028,161861.58000000042,513,83,100
27-May-09,57730,51390,151973.4500000001,487,13,30
03-Jun-09,59940,53536,160024.85000000027,492,74,180
10-Jun-09,66922,59560,177486.07000000033,486,54,70
17-Jun-09,61673,54995,165602.86999999968,477,23,20
24-Jun-09,51187,45718,141011.1499999999,472,62,140
01-Jul-09,58798,51231,158614.33999999982,474,0,0
08-Jul-09,63580,56014,177045.26000000013,489,129,860
15-Jul-09,59624,52842,165333.3600000005,474,28,290
22-Jul-09,51683,46243,143233.2100000004,472,0,0
29-Jul-09,49278,44021,136118.64000000004,478,0,0
05-Aug-09,71530,61513,174313.1200000003,472,0,0
12-Aug-09,61803,55487,162676.31999999972,470,0,0
19-Aug-09,80074,67915,208100.5700000002,474,0,0
26-Aug-09,69082,60766,176815.97,470,0,0
02-Sep-09,64165,56591,166629.8500000003,476,24,20
09-Sep-09,54584,48521,141884.69999999946,482,0,0
16-Sep-09,58189,51919,156569.94,483,0,0
23-Sep-09,68484,59852,199537.89000000025,503,68,220
30-Sep-09,75128,63234,196728.2300000003,508,118,390
07-Oct-09,60838,54269,171266.34999999998,495,11,10
14-Oct-09,63542,56697,181948.2599999999,489,0,0
21-Oct-09,61880,54338,173358.76999999932,494,11,10
28-Oct-09,59763,51784,162901.30999999968,540,163,1100
04-Nov-09,54378,48448,155439.73000000045,513,32,700
11-Nov-09,56847,50995,164500.45999999956,501,80,100
18-Nov-09,80146,65812,220358.00000000038,526,63,50
25-Nov-09,68073,59394,179932.23000000065,530,88,60
02-Dec-09,63315,56021,168567.41000000032,509,0,0
09-Dec-09,100992,83964,233886.03000000017,504,13,10
16-Dec-09,73829,63625,190817.65000000017,541,148,370
23-Dec-09,87864,75986,211331.99000000005,580,220,1360
30-Dec-09,62506,54688,158496.2000000001,534,90,340
06-Jan-10,98775,87210,254203.5600000002,536,102,890
13-Jan-10,103380,90719,261133.83999999973,596,185,1300
20-Jan-10,60543,54135,159310.44,590,130,1290
27-Jan-10,69187,62114,190941.09000000055,574,196,1430
03-Feb-10,66472,58962,179898.6299999996,523,102,330
10-Feb-10,72624,64624,197797.90000000005,606,303,1880
17-Feb-10,65817,58088,178410.15000000095,635,271,960
24-Feb-10,61269,54673,168419.45999999976,588,161,400
03-Mar-10,87288,74889,235027.24000000037,558,209,280
10-Mar-10,67839,59765,193870.9399999998,550,87,130
17-Mar-10,29764,26367,83815.30000000018,613,206,1240
24-Mar-10,63232,55249,186447.8800000001,589,159,500
31-Mar-10,61042,53457,177705.42000000016,592,202,2880
07-Apr-10,66098,57243,180454.17000000013,544,227,1360
14-Apr-10,56270,50521,156003.39999999973,527,85,140
21-Apr-10,59316,52900,165474.56000000008,526,0,0
28-Apr-10,77813,68334,190454.9599999999,527,12,10
05-May-10,82546,72592,211458.9599999995,558,280,420
12-May-10,78140,69124,200692.34000000014,531,92,160
19-May-10,79058,70308,197352.97000000035,485,0,0
26-May-10,58306,51885,159359.78999999995,506,114,470
02-Jun-10,55547,49456,153339.75999999963,512,177,265
09-Jun-10,63043,56218,178418.01999999984,498,124,665
16-Jun-10,76176,67168,217020.4599999996,515,188,625
23-Jun-10,70294,61262,184154.23999999926,499,113,160
30-Jun-10,65018,56684,164825.13999999984,519,82,410
07-Jul-10,67734,59297,172721.7899999994,510,112,810
14-Jul-10,78595,68523,201342.38999999987,556,132,610
21-Jul-10,55457,49529,155637.73999999985,565,152,760
28-Jul-10,53680,48487,153318.66000000003,596,249,1190
04-Aug-10,82622,70152,202788.87000000034,571,142,1830
11-Aug-10,94430,78353,226011.1900000001,593,371,2290
18-Aug-10,63072,55943,181778.86000000118,586,253,830
25-Aug-10,67539,59676,181295.9700000001,529,56,130
01-Sep-10,64477,56990,164674.51000000045,518,176,1170
08-Sep-10,79082,69920,199801.64999999964,549,268,1020
15-Sep-10,73914,65093,189681.11999999965,547,109,490
22-Sep-10,70135,61696,188506.3800000004,581,280,2982
29-Sep-10,71592,62002,184264.88000000035,591,317,3560
06-Oct-10,66183,58057,182969.98000000045,567,193,1270
13-Oct-10,71455,63323,200498.31,530,82,270
20-Oct-10,70112,61645,196777.6199999996,595,389,2610
27-Oct-10,64187,55604,175080.03999999925,592,352,2970
03-Nov-10,69999,57225,198742.14999999973,575,180,2540
10-Nov-10,73520,62631,192823.18999999942,590,266,510
17-Nov-10,50878,44265,137593.15999999963,615,426,1750
24-Nov-10,69267,57487,185367.64999999988,555,172,980
01-Dec-10,57630,49400,157288.93999999933,567,181,755
08-Dec-10,84724,71381,233558.00000000038,612,245,3730
15-Dec-10,77806,65924,210540.09999999937,616,193,2340
22-Dec-10,75165,64243,185351.31000000017,562,34,80
29-Dec-10,60302,52390,150294.2899999995,563,138,230
05-Jan-11,61570,55176,169614.67999999982,627,305,1750
12-Jan-11,70438,62517,200027.9200000004,587,266,1080
19-Jan-11,66408,58845,189038.38000000003,563,149,750
26-Jan-11,61520,55170,161323.4600000005,586,228,1750
02-Feb-11,70314,62486,200871.7499999999,566,141,335
09-Feb-11,83275,74723,245929.22000000026,584,310,545
16-Feb-11,82045,71787,210629.58999999973,725,480,2155
23-Feb-11,74640,64133,196605.90000000026,727,455,3390
02-Mar-11,66611,57954,188556.3700000003,677,356,2590
09-Mar-11,69589,61940,209267.08999999968,977,798,9010
16-Mar-11,64006,57038,191572.6200000002,792,483,5510
23-Mar-11,62819,55425,181332.86999999947,665,286,1820
30-Mar-11,66593,58155,190031.89999999935,806,715,4030
06-Apr-11,76105,66787,197736.02999999974,783,478,2150
13-Apr-11,72565,63954,187420.03999999922,765,657,2100
20-Apr-11,63894,54818,178130.92999999973,820,652,5225
27-Apr-11,59416,51694,169298.95000000013,793,524,3595
04-May-11,72940,63948,207062.7400000005,760,474,2660
11-May-11,79728,69500,218071.17000000062,707,522,1815
18-May-11,74013,65292,199501.62000000032,646,361,1060
25-May-11,64821,57527,170479.44999999972,583,243,1020
01-Jun-11,58125,51802,157616.0599999995,723,629,3820
08-Jun-11,63895,57098,187784.92999999976,711,600,2460
15-Jun-11,59115,53024,177660.75999999978,633,246,830
22-Jun-11,67158,58582,187070.93000000014,689,385,2050
29-Jun-11,64655,57102,187379.8999999998,639,294,830
06-Jul-11,70163,61639,207434.8899999997,604,291,905
13-Jul-11,68032,60441,201159.78000000006,626,453,1410
20-Jul-11,71603,62365,192947.72000000012,688,647,2405
27-Jul-11,63398,55698,176752.00000000017,642,319,1405
03-Aug-11,72550,61464,212600.54000000053,818,695,7475
10-Aug-11,57834,51673,177584.83999999994,730,526,4930
17-Aug-11,57264,51724,169659.73000000019,619,179,775
24-Aug-11,53438,48045,153741.84000000023,714,466,2910
31-Aug-11,49757,44958,144400.42000000033,725,585,2055
07-Sep-11,56140,50539,164550.77999999968,809,730,3980
14-Sep-11,59798,53952,176060.34000000037,855,642,4880
21-Sep-11,57576,51880,182881.50000000035,1008,959,5710
28-Sep-11,54751,49323,170063.01000000045,1088,673,9340
05-Oct-11,56256,50299,171008.6,929,677,6250
12-Oct-11,59324,52666,174727.86000000007,875,668,5250
19-Oct-11,49740,44160,145814.99000000025,1010,1077,8360
26-Oct-11,46142,41429,136379.46000000008,1063,948,7020
02-Nov-11,56184,50267,163230.58999999997,947,679,4960
09-Nov-11,52321,46748,162762.0599999996,1216,1002,13277
16-Nov-11,53725,48025,160336.94999999972,1128,1015,8700
23-Nov-11,73950,61422,208148.02000000028,995,865,4950
30-Nov-11,60048,51056,168351.17000000025,963,873,4210
07-Dec-11,82656,73390,211663.64000000077,1094,937,5555
14-Dec-11,76231,66863,195681.83000000066,960,663,4040
21-Dec-11,66469,57158,176140.7600000006,903,667,2490
28-Dec-11,50941,44749,139610.7200000001,1002,753,6425
04-Jan-12,64489,56108,190698.2600000002,957,617,5985
